# index	char	gb0	gb1	ink

0	切	0xC7	0xD0	105
1	纸	0xD6	0xBD	113
2	机	0xBB	0xFA	105
3	状	0xD7	0xB4	105
4	态	0xCC	0xAC	92
5	压	0xD1	0xB9	109
6	中	0xD6	0xD0	100
7	未	0xCE	0xB4	101
8	连	0xC1	0xAC	109
9	接	0xBD	0xD3	122
10	已	0xD2	0xD1	100
11	停	0xCD	0xA3	123
12	止	0xD6	0xB9	77
13	缩	0xCB	0xF5	123
14	出	0xB3	0xF6	106
15	杆	0xB8	0xCB	98
16	位	0xCE	0xBB	96
17	串	0xB4	0xAE	112
18	口	0xBF	0xDA	84
19	在	0xD4	0xDA	103
20	线	0xCF	0xDF	119
21	离	0xC0	0xEB	122
22	终	0xD6	0xD5	109
23	点	0xB5	0xE3	102
24	你	0xC4	0xE3	102
25	好	0xBA	0xC3	102
26	屏	0xC6	0xC1	116
27	就	0xBE	0xCD	120
28	绪	0xD0	0xF7	117
29	电	0xB5	0xE7	119
30	通	0xCD	0xA8	133
31	信	0xD0	0xC5	102
32	伸	0xC9	0xEC	123
33	回	0xBB	0xD8	114
34	模	0xC4	0xA3	125
35	拟	0xC4	0xE2	109
36	按	0xB0	0xB4	115
37	键	0xBC	0xFC	131
38	激	0xBC	0xA4	121
39	活	0xBB	0xEE	112
40	窗	0xB4	0xB0	140
41	发	0xB7	0xA2	118
42	送	0xCB	0xCD	123
43	割	0xB8	0xEE	128
44	等	0xB5	0xC8	101
45	待	0xB4	0xFD	98
46	动	0xB6	0xAF	108
47	作	0xD7	0xF7	97
48	执	0xD6	0xB4	101
49	行	0xD0	0xD0	89
50	第	0xB5	0xDA	123
51	轮	0xC2	0xD6	109
52	空	0xBF	0xD5	103
53	闲	0xCF	0xD0	111
54	运	0xD4	0xCB	115
55	完	0xCD	0xEA	112
56	成	0xB3	0xC9	115
57	开	0xBF	0xAA	94
58	始	0xCA	0xBC	114
59	其	0xC6	0xE4	120
60	他	0xCB	0xFB	117
61	确	0xC8	0xB7	122
62	认	0xC8	0xCF	75
63	调	0xB5	0xF7	116
64	用	0xD3	0xC3	114
65	组	0xD7	0xE9	116
66	条	0xCC	0xF5	117
67	件	0xBC	0xFE	98
68	下	0xCF	0xC2	76
69	步	0xB2	0xBD	101
70	骤	0xD6	0xE8	133
71	继	0xBC	0xCC	122
72	器	0xC6	0xF7	111
73	到	0xB5	0xBD	116
74	弹	0xB5	0xAF	114
75	亮	0xC1	0xC1	133
76	黄	0xBB	0xC6	127
77	红	0xBA	0xEC	97
