# index	char	gb0	gb1	ink

0	切	0xC7	0xD0	73
1	纸	0xD6	0xBD	88
2	机	0xBB	0xFA	64
3	状	0xD7	0xB4	70
4	态	0xCC	0xAC	69
5	压	0xD1	0xB9	75
6	中	0xD6	0xD0	58
7	未	0xCE	0xB4	74
8	连	0xC1	0xAC	79
9	接	0xBD	0xD3	90
10	已	0xD2	0xD1	60
11	停	0xCD	0xA3	83
12	止	0xD6	0xB9	63
13	缩	0xCB	0xF5	87
14	出	0xB3	0xF6	73
15	杆	0xB8	0xCB	60
16	位	0xCE	0xBB	72
17	串	0xB4	0xAE	80
18	口	0xBF	0xDA	66
19	在	0xD4	0xDA	66
20	线	0xCF	0xDF	84
21	离	0xC0	0xEB	89
22	终	0xD6	0xD5	76
23	点	0xB5	0xE3	85
24	你	0xC4	0xE3	67
25	好	0xBA	0xC3	76
26	屏	0xC6	0xC1	83
27	就	0xBE	0xCD	81
28	绪	0xD0	0xF7	88
29	电	0xB5	0xE7	87
30	通	0xCD	0xA8	98
31	信	0xD0	0xC5	79
32	伸	0xC9	0xEC	95
33	回	0xBB	0xD8	100
34	模	0xC4	0xA3	93
35	拟	0xC4	0xE2	76
36	按	0xB0	0xB4	80
37	键	0xBC	0xFC	92
38	激	0xBC	0xA4	90
39	活	0xBB	0xEE	91
40	窗	0xB4	0xB0	96
41	发	0xB7	0xA2	72
42	送	0xCB	0xCD	82
43	割	0xB8	0xEE	78
44	等	0xB5	0xC8	98
45	待	0xB4	0xFD	67
46	动	0xB6	0xAF	72
47	作	0xD7	0xF7	55
48	执	0xD6	0xB4	68
49	行	0xD0	0xD0	65
50	第	0xB5	0xDA	94
51	轮	0xC2	0xD6	76
52	空	0xBF	0xD5	72
53	闲	0xCF	0xD0	96
54	运	0xD4	0xCB	64
55	完	0xCD	0xEA	64
56	成	0xB3	0xC9	89
57	开	0xBF	0xAA	74
58	始	0xCA	0xBC	82
59	其	0xC6	0xE4	89
60	他	0xCB	0xFB	85
61	确	0xC8	0xB7	88
62	认	0xC8	0xCF	56
63	调	0xB5	0xF7	87
64	用	0xD3	0xC3	90
65	组	0xD7	0xE9	78
66	条	0xCC	0xF5	76
67	件	0xBC	0xFE	62
68	下	0xCF	0xC2	34
69	步	0xB2	0xBD	71
70	骤	0xD6	0xE8	91
71	继	0xBC	0xCC	83
72	器	0xC6	0xF7	92
73	到	0xB5	0xBD	100
74	弹	0xB5	0xAF	88
75	亮	0xC1	0xC1	79
76	黄	0xBB	0xC6	99
77	红	0xBA	0xEC	69
78	底	0xB5	0xD7	87
79	正	0xD5	0xFD	64
80	常	0xB3	0xA3	80
81	错	0xB4	0xED	85
82	误	0xCE	0xF3	88
83	失	0xCA	0xA7	59
84	败	0xB0	0xDC	79
85	超	0xB3	0xAC	92
86	时	0xCA	0xB1	64
87	警	0xBE	0xAF	87
88	告	0xB8	0xE6	79
89	提	0xCC	0xE1	97
90	示	0xCA	0xBE	52
91	断	0xB6	0xCF	94
92	端	0xB6	0xCB	89
93	测	0xB2	0xE2	87
94	试	0xCA	0xD4	75
95	自	0xD7	0xD4	85
96	手	0xCA	0xD6	75
97	循	0xD1	0xAD	104
98	环	0xBB	0xB7	61
99	次	0xB4	0xCE	64
100	进	0xBD	0xF8	87
101	度	0xB6	0xC8	89
102	秒	0xC3	0xEB	65
103	毫	0xBA	0xC1	86
104	重	0xD6	0xD8	108
105	取	0xC8	0xA1	83
106	消	0xCF	0xFB	87
107	复	0xB8	0xB4	93
108	清	0xC7	0xE5	92
109	零	0xC1	0xE3	83
110	初	0xB3	0xF5	78
111	化	0xBB	0xAF	67
112	原	0xD4	0xAD	80
113	续	0xD0	0xF8	85
114	返	0xB7	0xB5	81
115	首	0xCA	0xD7	85
116	页	0xD2	0xB3	69
117	隐	0xD2	0xFE	92
118	藏	0xB2	0xD8	98
119	流	0xC1	0xF7	76
120	程	0xB3	0xCC	95
121	暂	0xD4	0xDD	86
122	加	0xBC	0xD3	79
123	载	0xD4	0xD8	97
124	保	0xB1	0xA3	73
125	存	0xB4	0xE6	74
126	设	0xC9	0xE8	75
127	置	0xD6	0xC3	77
128	版	0xB0	0xE6	86
129	本	0xB1	0xBE	83
130	固	0xB9	0xCC	101
131	升	0xC9	0xFD	53
132	级	0xBC	0xB6	77
133	日	0xC8	0xD5	58
134	志	0xD6	0xBE	66
135	记	0xBC	0xC7	64
136	录	0xC2	0xBC	73
137	功	0xB9	0xA6	69
138	跳	0xCC	0xF8	88
139	过	0xB9	0xFD	74
140	忽	0xBA	0xF6	77
141	略	0xC2	0xD4	93
142	上	0xC9	0xCF	46
143	降	0xBD	0xB5	90
144	前	0xC7	0xB0	73
145	后	0xBA	0xF3	76
146	退	0xCD	0xCB	95
147	打	0xB4	0xF2	58
148	关	0xB9	0xD8	65
149	闭	0xB1	0xD5	88
150	启	0xC6	0xF4	86
151	禁	0xBD	0xFB	82
152	有	0xD3	0xD0	78
153	效	0xD0	0xA7	70
154	无	0xCE	0xDE	60
155	忙	0xC3	0xA6	59
156	碌	0xC2	0xB5	86
157	准	0xD7	0xBC	80
158	备	0xB1	0xB8	80
159	数	0xCA	0xFD	94
160	据	0xBE	0xDD	101
161	查	0xB2	0xE9	86
162	询	0xD1	0xAF	92
163	刷	0xCB	0xA2	103
164	新	0xD0	0xC2	77
165	控	0xBF	0xD8	73
166	制	0xD6	0xC6	90
167	说	0xCB	0xB5	79
168	明	0xC3	0xF7	100
169	编	0xB1	0xE0	105
170	号	0xBA	0xC5	71
171	名	0xC3	0xFB	75
172	称	0xB3	0xC6	73
173	许	0xD0	0xED	57
174	可	0xBF	0xC9	58
175	同	0xCD	0xAC	69
176	校	0xD0	0xA3	75
177	检	0xBC	0xEC	81
178	传	0xB4	0xAB	68
179	感	0xB8	0xD0	85
180	急	0xBC	0xB1	82
181	约	0xD4	0xBC	74
182	 	0x00	0x20	0
183	%	0x00	0x25	50
184	.	0x00	0x2E	4
185	/	0x00	0x2F	18
186	0	0x00	0x30	33
187	1	0x00	0x31	26
188	2	0x00	0x32	36
189	3	0x00	0x33	32
190	4	0x00	0x34	35
191	5	0x00	0x35	31
192	6	0x00	0x36	38
193	7	0x00	0x37	22
194	8	0x00	0x38	42
195	9	0x00	0x39	35
196	A	0x00	0x41	36
197	B	0x00	0x42	43
198	C	0x00	0x43	28
199	D	0x00	0x44	43
200	E	0x00	0x45	33
201	F	0x00	0x46	25
